"Module Version","Module Version"
"Composer Version","Composer Version"
"CUSTOM SHIPPING RATE","CUSTOM SHIPPING RATE"
"Enable","Enable"
"Code","Code"
"Title","Title"
"Price","Price"
"Carrier/Rate:","Carrier/Rate:"
"Set","Set"
"Note: This will override any shipping method selected above.","Note: This will override any shipping method selected above."
"Click to change shipping method","Click to change shipping method"
"Admin Sort","Admin Sort"
